Date,PE Ratio,Revenue_Amount(Millions)
2017-06-30,84.07,$16
2017-09-30,53.03,$17
2017-12-31,151.44,$16
2018-03-31,50.99,$17
2018-06-30,19.96,$18
2018-09-30,19.59,$19
2018-12-31,18.46,$29
2019-03-31,18.14,$28
2019-06-30,18.14,$30
2019-09-30,18.32,$30
2019-12-31,13.38,$28
2020-03-31,9.38,$28
2020-06-30,11.11,$32
2020-09-30,9.21,$39
2020-12-31,12.16,$36
2021-03-31,10.48,$34
2021-06-30,11.12,$35
2021-09-30,10.15,$36
2021-12-31,9.53,$36
2022-03-31,9.67,$32
2022-07-08,8.96,$32
