Date,PE Ratio,Revenue_Amount(Millions)
2018-06-30,28.88,"$5,857"
2018-09-30,31.79,"$5,683"
2018-12-31,14.42,"$-10,456"
2019-03-31,16.94,"$5,414"
2019-06-30,59.63,"$5,468"
2019-09-30,63.85,"$5,426"
2019-12-31,91.37,$-872
2020-03-31,0.0,"$3,670"
2020-06-30,0.0,"$3,289"
2020-09-30,0.0,"$3,629"
2020-12-31,0.0,"$3,750"
2021-03-31,13.24,"$3,017"
2021-06-30,7.62,"$4,135"
2021-09-30,6.19,"$4,271"
2021-12-31,7.32,"$5,230"
2022-03-31,24.49,"$3,274"
2022-07-08,18.54,"$3,274"
