Date,PE Ratio,Revenue_Amount(Millions)
2018-09-30,126.57,$119
2018-12-31,63.64,$126
2019-03-31,65.67,$135
2019-06-30,95.03,$145
2019-09-30,85.97,$150
2019-12-31,95.08,$158
2020-03-31,51.19,$158
2020-06-30,66.71,$95
2020-09-30,37.29,$147
2020-12-31,46.66,$152
2021-03-31,31.36,$171
2021-06-30,28.2,$218
2021-09-30,35.69,$223
2021-12-31,0.0,$339
2022-03-31,0.0,$431
2022-07-08,0.0,$431
