Date,PE Ratio,Revenue_Amount(Millions)
2009-12-31,4.97,"$1,801"
2010-03-31,8.25,"$1,915"
2010-06-30,0.0,"$1,891"
2010-09-30,45.04,"$2,825"
2010-12-31,9.83,"$2,441"
2011-03-31,3.1,"$3,078"
2011-06-30,1.59,"$3,142"
2011-09-30,2.14,"$2,443"
2011-12-31,1.63,"$3,356"
2012-03-31,2.67,"$2,684"
2012-06-30,2.9,"$4,226"
2012-09-30,2.42,"$4,503"
2012-12-31,4.72,"$4,383"
2013-03-31,3.73,"$5,369"
2013-06-30,7.4,"$4,670"
2013-09-30,4.57,"$5,771"
2013-12-31,4.83,"$4,872"
2014-03-31,6.62,"$4,990"
2014-06-30,4.14,"$6,379"
2014-09-30,15.52,"$4,422"
2014-12-31,8.04,"$3,366"
2015-03-31,6.01,"$4,511"
2015-06-30,9.52,"$4,984"
2015-09-30,8.47,"$3,212"
2015-12-31,0.0,"$2,565"
2016-03-31,0.0,"$3,127"
2016-06-30,0.0,"$4,350"
2016-09-30,0.0,"$4,899"
2016-12-31,0.0,"$3,972"
2017-03-31,0.0,"$4,667"
2017-06-30,3.45,"$4,465"
2017-09-30,2.57,"$3,504"
2017-12-31,2.0,"$4,733"
2018-03-31,2.09,"$2,983"
2018-06-30,5.37,"$3,423"
2018-09-30,8.67,"$2,569"
2018-12-31,3.13,"$2,802"
2019-03-31,5.44,"$1,855"
2019-06-30,11.15,"$2,196"
2019-09-30,13.02,"$2,320"
2019-12-31,0.0,"$2,623"
2020-03-31,0.0,$-60
2020-06-30,0.0,"$2,709"
2020-09-30,0.0,$723
2020-12-31,0.0,"$2,751"
2021-03-31,0.0,"$3,384"
2021-06-30,0.0,"$2,988"
2021-09-30,248.2,"$2,646"
2021-12-31,0.0,"$2,310"
2022-03-31,0.0,"$4,084"
2022-07-08,0.0,"$4,084"
