date,close,daily_returns
2012-01-03,28.96,-0.01996615905245347
2012-01-04,29.78,0.028314917127071793
2012-01-05,29.93,0.00503693754197454
2012-01-06,29.63,-0.010023387905111925
2012-01-09,29.47,-0.005399932500843696
2012-01-10,31.41,0.06582965727858836
2012-01-11,31.27,-0.004457179242279508
2012-01-12,31.25,-0.0006395906619762748
2012-01-13,31.09,-0.005120000000000013
2012-01-17,31.84,0.024123512383402934
2012-01-18,34.77,0.09202261306532677
2012-01-19,34.69,-0.0023008340523441584
2012-01-20,34.48,-0.006053617757278751
2012-01-23,33.72,-0.022041763341067222
2012-01-24,33.97,0.007413997627520708
2012-01-25,34.77,0.023550191345304894
2012-01-26,37.87,0.08915731952832884
2012-01-27,38.43,0.014787430683918634
2012-01-30,38.31,-0.0031225604996095724
2012-01-31,38.24,-0.0018271991647089703
2012-02-01,38.49,0.006537656903765621
2012-02-02,38.48,-0.0002598077422708567
2012-02-03,40.34,0.0483367983367986
2012-02-06,41.23,0.022062469013386155
2012-02-07,40.83,-0.00970167353868534
2012-02-08,41.48,0.01591966691158464
2012-02-09,40.76,-0.017357762777241992
2012-02-10,40.11,-0.015947006869479807
2012-02-13,41.27,0.0289204687110447
2012-02-14,41.19,-0.0019384540828690788
2012-02-15,40.41,-0.01893663510560817
2012-02-16,41.25,0.020786933927245732
2012-02-17,40.68,-0.01381818181818184
2012-02-21,39.5,-0.029006882989183858
2012-02-22,41.15,0.04177215189873418
2012-02-23,42.0,0.020656136087484844
2012-02-24,42.89,0.021190476190476204
2012-02-27,43.25,0.008393564933550923
2012-02-28,42.22,-0.023815028901734148
2012-02-29,41.68,-0.01279014684983415
2012-03-01,42.51,0.019913627639155385
2012-03-02,43.3,0.018583862620559888
2012-03-05,42.41,-0.020554272517321004
2012-03-06,41.36,-0.024758311718934167
2012-03-07,42.46,0.02659574468085113
2012-03-08,43.26,0.018841262364578393
2012-03-09,42.88,-0.008784096162736788
2012-03-12,42.27,-0.014225746268656692
2012-03-13,43.14,0.02058197303051812
2012-03-14,42.84,-0.006954102920723182
2012-03-15,43.26,0.009803921568627416
2012-03-16,42.58,-0.015718908922792374
2012-03-19,42.07,-0.011977454203851545
2012-03-20,41.07,-0.023769907297361503
2012-03-21,42.32,0.030435841246652107
2012-03-22,41.6,-0.017013232514177634
2012-03-23,41.39,-0.005048076923076961
