date,close,daily_returns
2012-01-03,28.08,-0.01680672268907568
2012-01-04,27.71,-0.013176638176638056
2012-01-05,27.12,-0.021291952363767574
2012-01-06,26.91,-0.007743362831858391
2012-01-09,27.25,0.01263470828688229
2012-01-10,27.62,0.013577981651376136
2012-01-11,28.23,0.02208544532947143
2012-01-12,28.25,0.000708466170740385
2012-01-13,22.79,-0.1932743362831859
2012-01-17,26.6,0.1671785870996052
2012-01-18,26.81,0.007894736842105177
2012-01-19,26.76,-0.0018649757553150792
2012-01-20,26.6,-0.005979073243647215
2012-01-23,26.77,0.006390977443609058
2012-01-24,27.42,0.024280911468061328
2012-01-25,27.97,0.02005835156819824
2012-01-26,28.94,0.03468001430103684
2012-01-27,29.33,0.013476157567380742
2012-01-30,29.57,0.008182748039549992
2012-01-31,29.07,-0.01690902942171124
2012-02-01,29.58,0.01754385964912264
2012-02-02,30.25,0.022650439486139318
2012-02-03,31.15,0.02975206611570247
2012-02-06,31.8,0.020866773675762618
2012-02-07,31.6,-0.0062893081761006275
2012-02-08,31.93,0.0104430379746836
2012-02-09,32.58,0.020357031005324044
2012-02-10,31.1,-0.04542664211172487
2012-02-13,31.49,0.012540192926044913
2012-02-14,33.17,0.053350269926961014
2012-02-15,33.6,0.012963521254145238
2012-02-16,34.19,0.017559523809523636
2012-02-17,34.97,0.02281368821292773
2012-02-21,34.5,-0.01344009150700598
2012-02-22,34.22,-0.008115942028985579
2012-02-23,34.53,0.00905902980713047
2012-02-24,33.75,-0.022589052997393555
2012-02-27,33.62,-0.003851851851851884
2012-02-28,33.81,0.005651397977394446
2012-02-29,33.41,-0.011830819284235572
2012-03-01,34.41,0.02993115833582749
2012-03-02,34.04,-0.01075268817204289
2012-03-05,33.77,-0.007931844888366513
2012-03-06,33.11,-0.019543973941368198
2012-03-07,33.12,0.000302023557837483
2012-03-08,33.07,-0.0015096618357487435
2012-03-09,34.74,0.050498941638947636
2012-03-12,36.01,0.03655728267127212
2012-03-13,36.09,0.0022216051096919376
2012-03-14,35.29,-0.022166805209199336
2012-03-15,35.0,-0.00821762538962878
2012-03-16,35.32,0.00914285714285712
2012-03-19,34.98,-0.00962627406568528
2012-03-20,34.96,-0.0005717552887363198
2012-03-21,35.15,0.005434782608695565
2012-03-22,34.4,-0.02133712660028453
2012-03-23,34.08,-0.009302325581395321
2012-03-26,37.4,0.09741784037558676
2012-03-27,37.94,0.01443850267379676
2012-03-28,37.85,-0.0023721665788085655
2012-03-29,37.33,-0.013738441215323749
2012-03-30,37.24,-0.002410929547280949
2012-04-02,36.58,-0.01772287862513433
2012-04-03,38.01,0.03909240021869875
2012-04-04,35.0,-0.07918968692449346
2012-04-05,34.71,-0.00828571428571423
2012-04-09,33.15,-0.04494382022471921
2012-04-10,32.46,-0.020814479638008976
2012-04-11,33.09,0.019408502772643388
2012-04-12,33.44,0.010577213659715756
2012-04-13,33.59,0.0044856459330144816
2012-04-16,32.25,-0.03989282524560889
2012-04-17,32.24,-0.00031007751937983663
2012-04-18,32.66,0.013027295285359619
2012-04-19,33.16,0.015309246785058184
2012-04-20,33.16,0.0
2012-04-23,31.94,-0.03679131483715303
2012-04-24,31.82,-0.0037570444583594487
2012-04-25,32.91,0.03425518541797601
2012-04-26,33.49,0.017623822546338763
2012-04-27,33.34,-0.004478948939982019
2012-04-30,33.13,-0.006298740251949653
2012-05-01,33.78,0.01961968004829462
2012-05-02,33.94,0.00473653049141487
2012-05-03,32.46,-0.04360636417206831
2012-05-04,31.83,-0.019408502772643277
2012-05-07,32.47,0.020106817467797633
2012-05-08,30.19,-0.07021866338158289
2012-05-09,30.06,-0.004306061609804623
2012-05-10,32.96,0.09647371922821035
2012-05-11,32.25,-0.021541262135922334
2012-05-14,30.06,-0.06790697674418611
2012-05-15,29.43,-0.020958083832335328
2012-05-16,29.18,-0.00849473326537542
2012-05-17,28.57,-0.020904729266620903
2012-05-18,27.56,-0.035351767588379435
2012-05-21,28.77,0.04390420899854863
2012-05-22,30.79,0.07021202641640589
2012-05-23,31.02,0.00746995777849957
2012-05-24,30.32,-0.022566086395873652
2012-05-25,29.81,-0.016820580474934066
2012-05-29,31.69,0.06306608520630674
2012-05-30,30.41,-0.04039129062795843
2012-05-31,29.5,-0.029924366984544593
2012-06-01,28.15,-0.045762711864406835
2012-06-04,27.88,-0.009591474245115417
2012-06-05,27.91,0.0010760401721665591
2012-06-06,29.15,0.0444285202436403
2012-06-07,28.93,-0.007547169811320753
2012-06-08,30.08,0.03975112340131348
2012-06-11,29.12,-0.031914893617021156
2012-06-12,29.66,0.018543956043955978
2012-06-13,29.77,0.0037086985839513975
2012-06-14,29.39,-0.012764528048370805
2012-06-15,29.91,0.01769309288873755
2012-06-18,31.84,0.06452691407556
2012-06-19,32.09,0.007851758793969932
2012-06-20,33.78,0.05266438142723584
2012-06-21,32.19,-0.047069271758437004
2012-06-22,33.79,0.04970487729108419
2012-06-25,33.11,-0.020124297129328172
2012-06-26,31.61,-0.04530353367562667
2012-06-27,31.96,0.011072445428661926
2012-06-28,31.41,-0.017209011264080143
2012-06-29,31.29,-0.00382043935052534
2012-07-02,30.4,-0.02844359220198145
2012-07-03,30.66,0.008552631578947478
2012-07-05,31.23,0.018590998043052753
2012-07-06,30.99,-0.007684918347742653
2012-07-09,31.49,0.016134236850597006
2012-07-10,31.27,-0.006986344871387717
2012-07-11,31.51,0.007675087943716186
2012-07-12,32.7,0.03776578863852742
2012-07-13,34.25,0.04740061162079501
2012-07-16,35.96,0.04992700729927013
2012-07-17,33.35,-0.07258064516129026
2012-07-18,32.15,-0.0359820089955023
2012-07-19,32.27,0.0037325038880249295
2012-07-20,31.79,-0.014874496436318663
2012-07-23,30.66,-0.03554576910978291
2012-07-24,29.84,-0.026744944553163785
2012-07-25,28.95,-0.029825737265415597
2012-07-26,28.13,-0.02832469775474955
2012-07-27,29.51,0.04905794525417706
2012-07-30,27.35,-0.0731955269400203
2012-07-31,27.42,0.00255941499085921
2012-08-01,26.25,-0.04266958424507661
2012-08-02,26.1,-0.005714285714285672
2012-08-03,27.27,0.04482758620689653
2012-08-06,28.27,0.036670333700036695
2012-08-07,30.25,0.07003891050583655
2012-08-08,29.09,-0.0383471074380165
2012-08-09,29.41,0.011000343760742437
2012-08-10,29.94,0.018021081264876004
2012-08-13,31.17,0.04108216432865741
2012-08-14,29.42,-0.05614372794353539
2012-08-15,29.4,-0.0006798096532971698
2012-08-16,30.3,0.03061224489795933
2012-08-17,30.01,-0.009570957095709542
2012-08-20,29.51,-0.016661112962345848
2012-08-21,29.11,-0.013554727211114947
2012-08-22,29.95,0.0288560632085193
2012-08-23,30.73,0.02604340567612695
2012-08-24,29.5,-0.04002603319232023
2012-08-27,28.32,-0.040000000000000036
2012-08-28,28.69,0.013064971751412413
2012-08-29,28.41,-0.009759498082955731
2012-08-30,28.41,0.0
2012-08-31,28.52,0.003871876099964755
2012-09-04,28.14,-0.0133239831697054
2012-09-05,27.94,-0.007107320540156281
2012-09-06,28.55,0.021832498210450968
2012-09-07,29.35,0.028021015761821477
2012-09-10,27.37,-0.06746166950596255
2012-09-11,27.8,0.01571063207891843
2012-09-12,28.28,0.01726618705035965
2012-09-13,29.48,0.042432814710042344
2012-09-14,30.39,0.03086838534599723
2012-09-17,32.54,0.07074695623560379
2012-09-18,31.34,-0.03687768899815613
2012-09-19,31.05,-0.009253350350989176
2012-09-20,30.9,-0.004830917874396157
2012-09-21,30.02,-0.028478964401294493
2012-09-24,30.66,0.02131912058627594
2012-09-25,27.66,-0.09784735812133072
2012-09-26,27.54,-0.004338394793926281
2012-09-27,28.49,0.034495279593318884
2012-09-28,29.28,0.027729027729027855
2012-10-01,29.16,-0.004098360655737765
2012-10-02,29.8,0.021947873799725626
2012-10-03,29.3,-0.016778523489932917
2012-10-04,29.4,0.0034129692832762792
2012-10-05,28.89,-0.01734693877551019
2012-10-08,29.25,0.012461059190031154
2012-10-09,28.37,-0.030085470085470023
2012-10-10,28.4,0.0010574550581599063
2012-10-11,28.32,-0.0028169014084505895
2012-10-12,27.64,-0.02401129943502822
2012-10-15,27.33,-0.01121562952243138
2012-10-16,28.06,0.026710574460300007
2012-10-17,28.819,0.02704918032786896
2012-10-18,28.04,-0.027030778305978664
2012-10-19,27.74,-0.010699001426533572
2012-10-22,27.85,0.003965392934390799
2012-10-23,28.39,0.019389587073608494
2012-10-24,27.42,-0.034166960197252516
2012-10-25,27.52,0.003646973012399579
2012-10-26,27.38,-0.005087209302325646
2012-10-31,28.131,0.027428780131482977
2012-11-01,29.245,0.0396004407948527
2012-11-02,28.918,-0.011181398529663267
2012-11-05,31.5,0.0892869493049313
2012-11-06,31.15,-0.011111111111111183
2012-11-07,31.54,0.012520064205457482
2012-11-08,31.31,-0.007292327203551108
2012-11-09,30.32,-0.031619290961354185
2012-11-12,31.07,0.024736147757255855
2012-11-13,31.614,0.017508850981654334
2012-11-14,31.38,-0.007401784019738122
2012-11-15,30.82,-0.017845761631612445
2012-11-16,31.84,0.0330953926022064
2012-11-19,32.92,0.03391959798994981
2012-11-20,33.0,0.002430133657351119
2012-11-21,32.47,-0.01606060606060611
2012-11-23,32.13,-0.010471204188481575
2012-11-26,32.27,0.004357298474945592
2012-11-27,32.15,-0.003718624109079749
2012-11-28,33.21,0.03297045101088658
2012-11-29,33.69,0.014453477868112019
2012-11-30,33.82,0.003858711783912172
2012-12-03,34.62,0.023654642223536193
2012-12-04,33.9,-0.020797227036395083
2012-12-05,33.71,-0.0056047197640117785
2012-12-06,33.9,0.005636309700385533
2012-12-07,34.17,0.007964601769911539
2012-12-10,34.57,0.01170617500731641
2012-12-11,35.28,0.020538038761932276
2012-12-12,35.26,-0.0005668934240363743
2012-12-13,33.61,-0.046795235394214374
2012-12-14,33.81,0.005950609937518614
2012-12-17,34.4,0.017450458444247197
2012-12-18,34.59,0.00552325581395352
2012-12-19,34.61,0.0005782017924254035
2012-12-20,34.43,-0.00520080901473563
2012-12-21,34.0,-0.012489108335753674
2012-12-24,34.28,0.008235294117647118
2012-12-26,33.59,-0.020128354725787556
2012-12-27,33.69,0.0029770765108660946
2012-12-28,33.22,-0.013950727218759229
2012-12-31,33.87,0.019566526189042754
2013-01-02,35.36,0.04399173309713622
2013-01-03,34.77,-0.01668552036199089
2013-01-04,34.4,-0.010641357492091053
2013-01-07,34.34,-0.0017441860465114978
2013-01-08,33.68,-0.01921956901572519
2013-01-09,33.64,-0.001187648456057011
