date,close[t],PE Ratio[t],Revenue_Amount(Millions)[t],Interest Rate(%)[t],close[t-1],PE Ratio[t-1],Revenue_Amount(Millions)[t-1],Interest Rate(%)[t-1],close[t-1]_7_min,close[t-1]_7_max,close[t-1]_7_mean,close[t-1]_7_std,close[t-1]_14_min,close[t-1]_14_max,close[t-1]_14_mean,close[t-1]_14_std
2012-01-24,30.69,22.72,213,0.1041758241758241,30.38,22.72,213,0.1041758241758241,28.46,30.4,29.58571428571429,0.7942052031823306,25.52,27.79,26.457142857142856,0.9819999030161902
2012-01-25,31.49,22.72,213,0.1041758241758241,30.69,22.72,213,0.1041758241758241,28.99,30.69,29.904285714285717,0.7102078837180131,25.52,28.46,26.71857142857143,1.2442591982303968
2012-01-26,31.05,22.72,213,0.1041758241758241,31.49,22.72,213,0.1041758241758241,28.99,31.49,30.187142857142852,0.8967852638863933,25.52,29.51,27.26571428571429,1.5224416479552072
2012-01-27,31.24,22.72,213,0.1041758241758241,31.05,22.72,213,0.1041758241758241,29.03,31.49,30.481428571428573,0.7670816682167956,25.57,29.51,27.761428571428574,1.4208263859626233
2012-01-30,31.64,22.72,213,0.1041758241758241,31.24,22.72,213,0.1041758241758241,30.33,31.49,30.797142857142855,0.46575080195721047,26.26,29.51,28.255714285714284,1.0961425871794965
2012-01-31,32.91,22.72,213,0.1041758241758241,31.64,22.72,213,0.1041758241758241,30.38,31.64,30.98428571428571,0.5080307452263216,27.75,30.33,28.837142857142858,0.9275903241861659
2012-02-01,35.06,22.72,213,0.1041758241758241,32.91,22.72,213,0.1041758241758241,30.38,32.91,31.342857142857145,0.8180813791164738,27.79,30.4,29.215714285714284,0.9504359901795368
2012-02-02,34.88,22.72,213,0.1041758241758241,35.06,22.72,213,0.1041758241758241,30.69,35.06,32.01142857142857,1.5152934652120202,28.46,30.4,29.58571428571429,0.7942052031823306
2012-02-03,35.38,22.72,213,0.1041758241758241,34.88,22.72,213,0.1041758241758241,31.05,35.06,32.61,1.7200387592532036,28.99,30.69,29.904285714285717,0.7102078837180131
2012-02-06,35.15,22.72,213,0.1041758241758241,35.38,22.72,213,0.1041758241758241,31.05,35.38,33.16571428571429,1.915201095993631,28.99,31.49,30.187142857142852,0.8967852638863933
2012-02-07,34.84,22.72,213,0.1041758241758241,35.15,22.72,213,0.1041758241758241,31.24,35.38,33.75142857142857,1.7826798980881515,29.03,31.49,30.481428571428573,0.7670816682167956
2012-02-08,34.34,22.72,213,0.1041758241758241,34.84,22.72,213,0.1041758241758241,31.64,35.38,34.26571428571428,1.4197400835229872,30.33,31.49,30.797142857142855,0.46575080195721047
2012-02-09,29.34,22.72,213,0.1041758241758241,34.34,22.72,213,0.1041758241758241,32.91,35.38,34.651428571428575,0.8330351847596615,30.38,31.64,30.98428571428571,0.5080307452263216
2012-02-10,30.04,22.72,213,0.1041758241758241,29.34,22.72,213,0.1041758241758241,29.34,35.38,34.14142857142857,2.1417160453821995,30.38,32.91,31.342857142857145,0.8180813791164738
2012-02-13,28.59,22.72,213,0.1041758241758241,30.04,22.72,213,0.1041758241758241,29.34,35.38,33.424285714285716,2.5787455422023564,30.69,35.06,32.01142857142857,1.5152934652120202
2012-02-14,27.63,22.72,213,0.1041758241758241,28.59,22.72,213,0.1041758241758241,28.59,35.38,32.52571428571429,3.041347602313027,31.05,35.06,32.61,1.7200387592532036
2012-02-15,29.28,22.72,213,0.1041758241758241,27.63,22.72,213,0.1041758241758241,27.63,35.15,31.41857142857143,3.2336637042804726,31.05,35.38,33.16571428571429,1.915201095993631
2012-02-16,30.4,22.72,213,0.1041758241758241,29.28,22.72,213,0.1041758241758241,27.63,34.84,30.580000000000002,2.8421529398210232,31.24,35.38,33.75142857142857,1.7826798980881515
2012-02-17,30.7,22.72,213,0.1041758241758241,30.4,22.72,213,0.1041758241758241,27.63,34.34,29.945714285714285,2.142256264960345,31.64,35.38,34.26571428571428,1.4197400835229872
2012-02-21,30.67,22.72,213,0.1041758241758241,30.7,22.72,213,0.1041758241758241,27.63,30.7,29.42571428571429,1.0725337157537318,32.91,35.38,34.651428571428575,0.8330351847596615
2012-02-22,30.0,22.72,213,0.1041758241758241,30.67,22.72,213,0.1041758241758241,27.63,30.7,29.615714285714287,1.1683443719334246,29.34,35.38,34.14142857142857,2.1417160453821995
2012-02-23,30.59,22.72,213,0.1041758241758241,30.0,22.72,213,0.1041758241758241,27.63,30.7,29.610000000000003,1.1660188677718455,29.34,35.38,33.424285714285716,2.5787455422023564
2012-02-24,31.8,22.72,213,0.1041758241758241,30.59,22.72,213,0.1041758241758241,27.63,30.7,29.895714285714288,1.1184938852888324,28.59,35.38,32.52571428571429,3.041347602313027
2012-02-27,31.91,22.72,213,0.1041758241758241,31.8,22.72,213,0.1041758241758241,29.28,31.8,30.49142857142857,0.7653850571537294,27.63,35.15,31.41857142857143,3.2336637042804726
2012-02-28,32.31,22.72,213,0.1041758241758241,31.91,22.72,213,0.1041758241758241,30.0,31.91,30.86714285714286,0.7154885111053426,27.63,34.84,30.580000000000002,2.8421529398210232
2012-02-29,32.23,22.72,213,0.1041758241758241,32.31,22.72,213,0.1041758241758241,30.0,32.31,31.140000000000004,0.8577101297446568,27.63,34.34,29.945714285714285,2.142256264960345
2012-03-01,32.62,22.72,213,0.1041758241758241,32.23,22.72,213,0.1041758241758241,30.0,32.31,31.35857142857143,0.9196091302183108,27.63,30.7,29.42571428571429,1.0725337157537318
2012-03-02,32.45,22.72,213,0.1041758241758241,32.62,22.72,213,0.1041758241758241,30.0,32.62,31.637142857142855,0.9702184339228622,27.63,30.7,29.615714285714287,1.1683443719334246
2012-03-05,31.97,22.72,213,0.1041758241758241,32.45,22.72,213,0.1041758241758241,30.59,32.62,31.987142857142857,0.6795761984676384,27.63,30.7,29.610000000000003,1.1660188677718455
2012-03-06,31.42,22.72,213,0.1041758241758241,31.97,22.72,213,0.1041758241758241,31.8,32.62,32.184285714285714,0.3019854931865981,27.63,30.7,29.895714285714288,1.1184938852888324
2012-03-07,31.07,22.72,213,0.1041758241758241,31.42,22.72,213,0.1041758241758241,31.42,32.62,32.13,0.40062451248009745,29.28,31.8,30.49142857142857,0.7653850571537294
2012-03-08,31.26,22.72,213,0.1041758241758241,31.07,22.72,213,0.1041758241758241,31.07,32.62,32.01,0.5682429058069435,30.0,31.91,30.86714285714286,0.7154885111053426
2012-03-09,30.7,22.72,213,0.1041758241758241,31.26,22.72,213,0.1041758241758241,31.07,32.62,31.859999999999996,0.6126989472815527,30.0,32.31,31.140000000000004,0.8577101297446568
2012-03-12,30.7,22.72,213,0.1041758241758241,30.7,22.72,213,0.1041758241758241,30.7,32.62,31.641428571428573,0.7218824597635103,30.0,32.31,31.35857142857143,0.9196091302183108
2012-03-13,30.48,22.72,213,0.1041758241758241,30.7,22.72,213,0.1041758241758241,30.7,32.45,31.367142857142856,0.6491973065694918,30.0,32.62,31.637142857142855,0.9702184339228622
2012-03-14,30.99,22.72,213,0.1041758241758241,30.48,22.72,213,0.1041758241758241,30.48,31.97,31.085714285714285,0.5145825862727822,30.59,32.62,31.987142857142857,0.6795761984676384
2012-03-15,32.47,22.72,213,0.1041758241758241,30.99,22.72,213,0.1041758241758241,30.48,31.42,30.945714285714285,0.33634591037877004,31.8,32.62,32.184285714285714,0.3019854931865981
2012-03-16,34.0,22.72,213,0.1041758241758241,32.47,22.72,213,0.1041758241758241,30.48,32.47,31.095714285714283,0.660778761332807,31.42,32.62,32.13,0.40062451248009745
2012-03-19,34.0,22.72,213,0.1041758241758241,34.0,22.72,213,0.1041758241758241,30.48,34.0,31.514285714285712,1.2798158349655258,31.07,32.62,32.01,0.5682429058069435
2012-03-20,34.09,22.72,213,0.1041758241758241,34.0,22.72,213,0.1041758241758241,30.48,34.0,31.905714285714286,1.574228458037512,31.07,32.62,31.859999999999996,0.6126989472815527
2012-03-21,33.77,22.72,213,0.1041758241758241,34.09,22.72,213,0.1041758241758241,30.48,34.09,32.39,1.660562153810144,30.7,32.62,31.641428571428573,0.7218824597635103
2012-03-22,33.25,22.72,213,0.1041758241758241,33.77,22.72,213,0.1041758241758241,30.48,34.09,32.82857142857143,1.5409242742742195,30.7,32.45,31.367142857142856,0.6491973065694918
2012-03-23,33.27,22.72,213,0.1041758241758241,33.25,22.72,213,0.1041758241758241,30.99,34.09,33.22428571428572,1.141079271900866,30.48,31.97,31.085714285714285,0.5145825862727822
2012-03-26,34.3,22.72,213,0.1041758241758241,33.27,22.72,213,0.1041758241758241,32.47,34.09,33.550000000000004,0.5887557501487638,30.48,31.42,30.945714285714285,0.33634591037877004
2012-03-27,35.29,22.72,213,0.1041758241758241,34.3,22.72,213,0.1041758241758241,33.25,34.3,33.81142857142857,0.40773474103578233,30.48,32.47,31.095714285714283,0.660778761332807
2012-03-28,34.57,22.72,213,0.1041758241758241,35.29,22.72,213,0.1041758241758241,33.25,35.29,33.995714285714286,0.696463857469863,30.48,34.0,31.514285714285712,1.2798158349655258
2012-03-29,35.15,22.72,213,0.1041758241758241,34.57,22.72,213,0.1041758241758241,33.25,35.29,34.07714285714286,0.7295823984927088,30.48,34.0,31.905714285714286,1.574228458037512
2012-03-30,35.67,22.72,213,0.1041758241758241,35.15,22.72,213,0.1041758241758241,33.25,35.29,34.22857142857143,0.8350734213513905,30.48,34.09,32.39,1.660562153810144
2012-04-02,37.37,22.72,213,0.1523076923076923,35.67,22.72,213,0.1041758241758241,33.25,35.67,34.5,0.9605380436678356,30.48,34.09,32.82857142857143,1.5409242742742195
2012-04-03,36.59,22.72,213,0.1523076923076923,37.37,22.72,213,0.1523076923076923,33.27,37.37,35.08857142857143,1.2770594944562486,30.99,34.09,33.22428571428572,1.141079271900866
2012-04-04,36.25,22.72,213,0.1523076923076923,36.59,22.72,213,0.1523076923076923,34.3,37.37,35.56285714285714,1.0922257746716308,32.47,34.09,33.550000000000004,0.5887557501487638
2012-04-05,36.06,22.72,213,0.1523076923076923,36.25,22.72,213,0.1523076923076923,34.57,37.37,35.84142857142857,0.9567205891555727,33.25,34.3,33.81142857142857,0.40773474103578233
2012-04-09,35.5,22.72,213,0.1523076923076923,36.06,22.72,213,0.1523076923076923,34.57,37.37,35.95142857142857,0.9265424719789439,33.25,35.29,33.995714285714286,0.696463857469863
2012-04-10,34.58,22.72,213,0.1523076923076923,35.5,22.72,213,0.1523076923076923,35.15,37.37,36.08428571428572,0.7441741987566741,33.25,35.29,34.07714285714286,0.7295823984927088
2012-04-11,34.79,22.72,213,0.1523076923076923,34.58,22.72,213,0.1523076923076923,34.58,37.37,36.002857142857145,0.8818865060333492,33.25,35.29,34.22857142857143,0.8350734213513905
2012-04-12,35.1,22.72,213,0.1523076923076923,34.79,22.72,213,0.1523076923076923,34.58,37.37,35.87714285714286,0.9929705313806525,33.25,35.67,34.5,0.9605380436678356
2012-04-13,34.5,22.72,213,0.1523076923076923,35.1,22.72,213,0.1523076923076923,34.58,36.59,35.55285714285714,0.7697556817092738,33.27,37.37,35.08857142857143,1.2770594944562486
2012-04-16,33.83,22.72,213,0.1523076923076923,34.5,22.72,213,0.1523076923076923,34.5,36.25,35.25428571428572,0.7028479480621208,34.3,37.37,35.56285714285714,1.0922257746716308
