name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,rmse,27.844985744967037,2.56
2_DecisionTree,Decision Tree,rmse,3.55932045938966,0.5
3_Linear,Linear,rmse,1.331880435056562,0.61
4_Default_Xgboost,Xgboost,rmse,1.4476083065942165,0.84
5_Default_NeuralNetwork,Neural Network,rmse,1.5563984521792429,0.71
6_Default_RandomForest,Random Forest,rmse,1.7756642451840354,0.81
Ensemble,Ensemble,rmse,1.3096586493558233,0.18
