,GHC,Graham Holdings Company
,LOPE,"Grand Canyon Education, Inc"
,GNLN,"Greenlane Holdings, Inc"
,GO,Grocery Outlet Holding Corp
,HLG,Hailiang Education Group Inc
,HELE,Helen of Troy Limited
,HLF,Herbalife Nutrition Ltd
,HFFG,HF Foods Group Inc
,HIMS,Hims & Hers Health Inc - Class A
,TWNK,"Hostess Brands, Inc"
,HMHC,Houghton Mifflin Harcourt Company
,IH,iHuman Inc - ADR
,INGR,Ingredion Incorporated
,IPAR,"Inter Parfums, Inc"
,JBSS,"John B. Sanfilippo & Son, Inc"
,LRN,K12 Inc
,KAVL,Kaival Brands Innovations Group Inc
,KMB,Kimberly-Clark Corporation
,DNUT,Krispy Kreme Inc
,LSF,Laird Superfood Inc.
,LANC,Lancaster Colony Corporation
,LNDC,Landec Corporation
,LAUR,"Laureate Education, Inc"
,LFVN,LifeVantage Corporation
,LMNR,Limoneira Company
,LINC,Lincoln Educational Services Corporation
,LOCL,Local Bounti Corp - Class A
,MMMB,MamaMancini`s Holdings Inc
,MTEX,"Mannatech, Incorporated"
,MF,Missfresh Ltd - ADR
,TAP,Molson Coors Brewing Company
,MDLZ,"Mondelez International, Inc"
,FIZZ,National Beverage Corp
,NTCO,Natura & Co Holding SA Unsponsored ADR
,NGVC,"Natural Grocers by Vitamin Cottage, Inc"
,NATR,"Nature's Sunshine Products, Inc"
,NBEV,New Age Beverages Corporation
,EDU,New Oriental Education & Technology Group Inc
,NUS,"Nu Skin Enterprises, Inc"
,NUZE,Nuzee Inc
,OTLY,Oatly Group AB - ADR
,OLLI,"Ollie's Bargain Outlet Holdings, Inc"
,ONE,OneSmart International Education Group Limited
,PEP,"PepsiCo, Inc"
,PRDO,Perdoceo Education Corporation
,PFGC,Performance Food Group Company
,PM,Philip Morris International Inc
,PLAG,Planet Green Holdings Corp
,NEW,Puxin Limited
,RGF,Real Good Food Company Inc (The) - Class A
,REV,"Revlon, Inc"
,RIBT,RiceBran Technologies
,RYB,"RYB Education, Inc"
,SAFM,"Sanderson Farms, Inc"
,EDTK,Skillful Craftsman Education Technology Ltd.
,SKIL,Skillsoft Corp. - Class A
,SOVO,Sovos Brands Inc
,SBEV,Splash Beverage Group Inc
,STG,Sunlands Technology Group
,SANW,S&W Seed Company
,SYY,Sysco Corporation
,TAL,TAL Education Group
,TANH,Tantech Holdings Ltd
,TGT,Target Corporation
,TTCF,Tattooed Chef Inc Class A
,PETZ,"TDH Holdings, Inc"
,ANDE,"The Andersons, Inc"
,SAM,"The Boston Beer Company, Inc"
,CLX,The Clorox Company
,KO,The Coca-Cola Company
,NAPA,The Duckhorn Portfolio Inc
,EL,The Estee Lauder Companies Inc
,SJM,The J. M. Smucker Company
,KHC,The Kraft Heinz Company
,KR,The Kroger Co
,PG,The Procter & Gamble Company
,UL,The Unilever Group
,THRN,Thorne Healthtech Inc
,TR,"Tootsie Roll Industries, Inc"
,TUEM,Tuesday Morning Corp. - New
,TPB,"Turning Point Brands, Inc"
,TSN,"Tyson Foods, Inc"
,UDMY,Udemy Inc
,UG,"United-Guardian, Inc"
,UNFI,"United Natural Foods, Inc"
,UTI,"Universal Technical Institute, Inc"
,USNA,"USANA Health Sciences, Inc"
,VGFC,Very Good Food Company Inc (the)
,VLGEA,"Village Super Market, Inc"
,VWE,Vintage Wine Estates Inc
,FREE,Whole Earth Brands Inc Class A
,ZME,Zhangmen Education Inc - ADR
,ZVO,Zovio Inc
