name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,rmse,9.934318756831004,2.68
2_DecisionTree,Decision Tree,rmse,1.6152788629566384,0.48
3_Linear,Linear,rmse,6.0772901053978465,0.57
4_Default_Xgboost,Xgboost,rmse,0.8748091986247121,0.99
5_Default_NeuralNetwork,Neural Network,rmse,0.9927028328253589,0.76
6_Default_RandomForest,Random Forest,rmse,1.1255250569473405,0.88
Ensemble,Ensemble,rmse,0.8514597950206,0.15
